model,params,WMAE,NAE
Ridge,alpha_1e-05_sw_uniform,92.436145,11.021333
Ridge,alpha_1e-05_sw_target_reciprocal,135.062407,12.684274
Ridge,alpha_0.0001_sw_uniform,92.431239,11.020591
Ridge,alpha_0.0001_sw_target_reciprocal,135.057193,12.683362
Ridge,alpha_0.001_sw_uniform,92.440206,11.021209
Ridge,alpha_0.001_sw_target_reciprocal,135.023719,12.677500
Ridge,alpha_0.01_sw_uniform,92.436676,11.020914
Ridge,alpha_0.01_sw_target_reciprocal,135.061495,12.670312
Ridge,alpha_0.1_sw_uniform,92.394101,11.017456
Ridge,alpha_0.1_sw_target_reciprocal,135.907137,12.690075
Ridge,alpha_1_sw_uniform,92.281315,11.009171
Ridge,alpha_1_sw_target_reciprocal,137.309072,12.916318
Ridge,alpha_10_sw_uniform,92.212439,11.006529
Ridge,alpha_10_sw_target_reciprocal,140.765664,13.821914
Ridge,alpha_100_sw_uniform,92.582660,11.049409
Ridge,alpha_100_sw_target_reciprocal,145.050187,14.544912
Ridge,alpha_1000_sw_uniform,94.680065,11.356684
Ridge,alpha_1000_sw_target_reciprocal,148.895615,14.481504
