model,params,WMAE,NAE
Ridge,alpha_1e-05_sw_uniform,105.784318,10.550078
Ridge,alpha_1e-05_sw_target_reciprocal,141.821558,14.666356
Ridge,alpha_0.0001_sw_uniform,103.230001,10.141442
Ridge,alpha_0.0001_sw_target_reciprocal,141.099340,14.324883
Ridge,alpha_0.001_sw_uniform,101.260226,9.910615
Ridge,alpha_0.001_sw_target_reciprocal,139.676272,13.760955
Ridge,alpha_0.01_sw_uniform,99.955734,9.705506
Ridge,alpha_0.01_sw_target_reciprocal,137.307105,12.972827
Ridge,alpha_0.1_sw_uniform,98.142184,9.366754
Ridge,alpha_0.1_sw_target_reciprocal,135.268695,12.312204
Ridge,alpha_1_sw_uniform,94.643425,8.811803
Ridge,alpha_1_sw_target_reciprocal,135.095934,12.411924
Ridge,alpha_10_sw_uniform,89.805890,8.237888
Ridge,alpha_10_sw_target_reciprocal,134.754385,13.360668
Ridge,alpha_100_sw_uniform,91.252309,8.379781
Ridge,alpha_100_sw_target_reciprocal,138.412276,14.956408
Ridge,alpha_1000_sw_uniform,103.049873,9.890933
Ridge,alpha_1000_sw_target_reciprocal,143.893359,15.723947
