model,params,WMAE,NAE
Lars,nnzcoefs_1,117.204227,19.875298
Lars,nnzcoefs_10,105.973559,19.745774
Lars,nnzcoefs_50,300.763600,60.604621
Lars,nnzcoefs_100,554.849850,125.328097
