model,params,WMAE,NAE
LassoLars,alpha_1e-05,75.683324,11.379530
LassoLars,alpha_0.0001,75.683324,11.379530
LassoLars,alpha_0.001,75.716351,11.379563
LassoLars,alpha_0.01,78.405097,11.383744
LassoLars,alpha_0.1,86.104320,13.117598
LassoLars,alpha_1,145.562564,18.843037
LassoLars,alpha_10,145.562564,18.843037
LassoLars,alpha_100,145.562564,18.843037
LassoLars,alpha_1000,145.562564,18.843037
