model,params,WMAE,NAE
MLPRegressor,"hidden_[200, 200]",96.924979,13.515256
MLPRegressor,"hidden_[200, 500]",78.308178,12.774593
MLPRegressor,"hidden_[500, 200]",106.697487,14.437542
MLPRegressor,"hidden_[500, 500]",84.551475,13.172035
MLPRegressor,"hidden_[200, 500, 200]",59.236844,8.540824
MLPRegressor,"hidden_[200, 500, 500, 200]",63.466214,9.348705
