model,params,MAE_1,MAE_2,MAE_3,WMAE
xgb,xgb_004_le_0.1_cb_0.8_md_13_mcw_2,0.092503,18.748783,0.006469,47.793418
xgb,xgb_004_le_0.1_cb_0.8_md_13_mcw_3,0.091776,18.514465,0.006429,47.333073
xgb,xgb_004_le_0.1_cb_0.8_md_13_mcw_4,0.092282,18.610828,0.006427,47.580797
xgb,xgb_004_le_0.1_cb_0.8_md_15_mcw_2,0.091245,18.475734,0.006362,47.121803
xgb,xgb_004_le_0.1_cb_0.8_md_15_mcw_3,0.091313,18.241027,0.006314,46.897554
xgb,xgb_004_le_0.1_cb_0.8_md_15_mcw_4,0.090887,18.439987,0.006325,46.971064
xgb,xgb_004_le_0.1_cb_0.8_md_17_mcw_2,0.092369,18.178430,0.006286,47.146359
xgb,xgb_004_le_0.1_cb_0.8_md_17_mcw_3,0.091063,18.054517,0.006306,46.634719
xgb,xgb_004_le_0.1_cb_0.8_md_17_mcw_4,0.091507,17.918380,0.006258,46.622152
xgb,xgb_004_le_0.1_cb_0.8_md_19_mcw_2,0.092434,18.349766,0.006268,47.333679
xgb,xgb_004_le_0.1_cb_0.8_md_19_mcw_3,0.091206,18.056671,0.006177,46.653863
xgb,xgb_004_le_0.1_cb_0.8_md_19_mcw_4,0.090414,17.842055,0.006200,46.206265
xgb,xgb_004_le_0.1_cb_0.8_md_21_mcw_2,0.093295,18.133364,0.006281,47.378069
xgb,xgb_004_le_0.1_cb_0.8_md_21_mcw_3,0.091514,17.891790,0.006248,46.595555
xgb,xgb_004_le_0.1_cb_0.8_md_21_mcw_4,0.091733,18.229216,0.006248,46.998918
xgb,xgb_004_le_0.1_cb_0.8_md_23_mcw_2,0.092423,18.075154,0.006293,47.060671
xgb,xgb_004_le_0.1_cb_0.8_md_23_mcw_3,0.091479,17.910967,0.006201,46.594961
xgb,xgb_004_le_0.1_cb_0.8_md_23_mcw_4,0.091108,18.095180,0.006229,46.673376
xgb,xgb_004_le_0.1_cb_1.0_md_13_mcw_2,0.090174,18.281203,0.006307,46.594905
xgb,xgb_004_le_0.1_cb_1.0_md_13_mcw_3,0.090003,18.319915,0.006364,46.593568
xgb,xgb_004_le_0.1_cb_1.0_md_13_mcw_4,0.089637,18.209848,0.006314,46.363520
xgb,xgb_004_le_0.1_cb_1.0_md_15_mcw_2,0.089786,17.841676,0.006143,46.006072
xgb,xgb_004_le_0.1_cb_1.0_md_15_mcw_3,0.090774,17.935218,0.006240,46.415571
xgb,xgb_004_le_0.1_cb_1.0_md_15_mcw_4,0.089390,17.898779,0.006232,45.962297
xgb,xgb_004_le_0.1_cb_1.0_md_17_mcw_2,0.089467,17.828282,0.006157,45.899895
xgb,xgb_004_le_0.1_cb_1.0_md_17_mcw_3,0.089712,17.994595,0.006175,46.143264
xgb,xgb_004_le_0.1_cb_1.0_md_17_mcw_4,0.089731,17.549084,0.006214,45.711282
xgb,xgb_004_le_0.1_cb_1.0_md_19_mcw_2,0.089012,17.808760,0.006058,45.724044
xgb,xgb_004_le_0.1_cb_1.0_md_19_mcw_3,0.090339,17.550396,0.006125,45.877148
xgb,xgb_004_le_0.1_cb_1.0_md_19_mcw_4,0.089296,17.523291,0.006203,45.552636
xgb,xgb_004_le_0.1_cb_1.0_md_21_mcw_2,0.089322,17.762061,0.006036,45.765729
xgb,xgb_004_le_0.1_cb_1.0_md_21_mcw_3,0.090202,17.945069,0.006174,46.240598
xgb,xgb_004_le_0.1_cb_1.0_md_21_mcw_4,0.090015,17.426219,0.006170,45.664586
xgb,xgb_004_le_0.1_cb_1.0_md_23_mcw_2,0.090037,17.775207,0.006044,45.995253
xgb,xgb_004_le_0.1_cb_1.0_md_23_mcw_3,0.090484,17.518724,0.006163,45.896438
xgb,xgb_004_le_0.1_cb_1.0_md_23_mcw_4,0.089932,17.538354,0.006140,45.745848
