model,params,MAE_1,MAE_2,MAE_3,WMAE
Ridge,alpha_1e-05,0.251807,35.341563,0.014312,113.746098
Ridge,alpha_0.0001,0.249420,33.966874,0.013167,111.426321
Ridge,alpha_0.001,0.247992,33.090141,0.012322,109.952004
Ridge,alpha_0.01,0.247200,32.357262,0.011777,108.872556
Ridge,alpha_0.1,0.246582,31.815815,0.011368,108.063895
Ridge,alpha_1,0.247532,31.432062,0.011047,107.900949
Ridge,alpha_10,0.250115,31.269281,0.010747,108.453083
Ridge,alpha_100,0.252053,31.521167,0.011010,109.339221
Ridge,alpha_1000,0.258547,32.010328,0.012538,112.082069
