model,params,MAE_1,MAE_2,MAE_3,WMAE
Ridge,alpha_1e-05,0.255234,33.450045,0.019206,113.861502
Ridge,alpha_0.0001,0.255361,33.450668,0.019206,113.900050
Ridge,alpha_0.001,0.255478,33.450950,0.019206,113.935460
Ridge,alpha_0.01,0.255507,33.447910,0.019205,113.941165
Ridge,alpha_0.1,0.255569,33.421931,0.019205,113.933551
Ridge,alpha_1,0.255718,33.315319,0.019252,113.881014
Ridge,alpha_10,0.255614,33.159681,0.019460,113.736008
Ridge,alpha_100,0.256154,32.890873,0.019806,113.698223
Ridge,alpha_1000,0.261917,33.167062,0.019971,115.736319
