model,params,MAE_1,MAE_2,MAE_3,WMAE
Ridge,alpha_1e-05,0.165925,28.568638,0.015009,81.348028
Ridge,alpha_0.0001,0.162442,27.939146,0.014240,79.519894
Ridge,alpha_0.001,0.160585,27.465414,0.013491,78.339095
Ridge,alpha_0.01,0.159104,27.215705,0.012863,77.519529
Ridge,alpha_0.1,0.157497,27.012390,0.012658,76.792985
Ridge,alpha_1,0.157489,26.948146,0.012707,76.736038
Ridge,alpha_10,0.159325,27.071267,0.012907,77.450132
Ridge,alpha_100,0.162028,27.328197,0.013360,78.608389
Ridge,alpha_1000,0.166178,27.941735,0.014499,80.694886
