model,params,MAE_1,MAE_2,MAE_3,WMAE
xgb,xgb_001_le_0.2_cb_0.8_md_13_mcw_4,0.095847,19.958596,0.006789,50.070493
xgb,xgb_001_le_0.1_cb_1.0_md_9_mcw_2,0.098562,20.389898,0.006767,51.311740
xgb,xgb_001_le_0.1_cb_1.0_md_9_mcw_3,0.097824,20.355081,0.006829,51.068312
xgb,xgb_001_le_0.1_cb_1.0_md_9_mcw_4,0.098684,20.480935,0.006685,51.423128
xgb,xgb_001_le_0.1_cb_1.0_md_10_mcw_2,0.095438,19.987072,0.006641,49.946636
xgb,xgb_001_le_0.1_cb_1.0_md_10_mcw_3,0.096725,20.013574,0.006615,50.354207
xgb,xgb_001_le_0.1_cb_1.0_md_10_mcw_4,0.096419,20.163756,0.006598,50.408976
xgb,xgb_001_le_0.1_cb_1.0_md_11_mcw_2,0.095490,19.980048,0.006518,49.930617
xgb,xgb_001_le_0.1_cb_1.0_md_11_mcw_3,0.094569,19.998758,0.006560,49.681438
xgb,xgb_001_le_0.1_cb_1.0_md_11_mcw_4,0.094211,19.771244,0.006596,49.353617
xgb,xgb_001_le_0.1_cb_1.0_md_12_mcw_2,0.094571,19.693731,0.006517,49.368364
xgb,xgb_001_le_0.1_cb_1.0_md_12_mcw_3,0.093317,19.621314,0.006529,48.922101
xgb,xgb_001_le_0.1_cb_1.0_md_12_mcw_4,0.094447,19.303903,0.006488,48.935573
xgb,xgb_001_le_0.1_cb_1.0_md_13_mcw_2,0.092891,19.102725,0.006474,48.264847
xgb,xgb_001_le_0.1_cb_1.0_md_13_mcw_3,0.092642,19.346821,0.006488,48.436908
xgb,xgb_001_le_0.1_cb_1.0_md_13_mcw_4,0.092995,19.381589,0.006527,48.585527
xgb,xgb_001_le_0.2_cb_1.0_md_9_mcw_2,0.098274,20.609146,0.006825,51.456415
xgb,xgb_001_le_0.2_cb_1.0_md_9_mcw_3,0.098965,20.566778,0.006734,51.603082
xgb,xgb_001_le_0.2_cb_1.0_md_9_mcw_4,0.098201,20.699384,0.006920,51.543580
xgb,xgb_001_le_0.2_cb_1.0_md_10_mcw_2,0.096031,20.577593,0.006772,50.741244
xgb,xgb_001_le_0.2_cb_1.0_md_10_mcw_3,0.097208,20.319965,0.006793,50.840997
xgb,xgb_001_le_0.2_cb_1.0_md_10_mcw_4,0.098218,20.287285,0.006742,51.101064
xgb,xgb_001_le_0.2_cb_1.0_md_11_mcw_2,0.096173,20.374942,0.006807,50.588231
xgb,xgb_001_le_0.2_cb_1.0_md_11_mcw_3,0.095476,20.146319,0.006669,50.122834
xgb,xgb_001_le_0.2_cb_1.0_md_11_mcw_4,0.095916,19.947720,0.006755,50.073718
xgb,xgb_001_le_0.2_cb_1.0_md_12_mcw_2,0.096085,19.775391,0.006660,49.932998
xgb,xgb_001_le_0.2_cb_1.0_md_12_mcw_3,0.094816,19.661547,0.006708,49.447895
xgb,xgb_001_le_0.2_cb_1.0_md_12_mcw_4,0.095333,19.845444,0.006692,49.783677
xgb,xgb_001_le_0.2_cb_1.0_md_13_mcw_2,0.095833,19.861293,0.006716,49.954298
xgb,xgb_001_le_0.2_cb_1.0_md_13_mcw_3,0.094901,19.827581,0.006674,49.632762
xgb,xgb_001_le_0.2_cb_1.0_md_13_mcw_4,0.093914,19.466142,0.006727,48.985755
xgb,xgb_001_le_0.1_cb_0.6_md_14_mcw_2,0.096207,19.800875,0.007097,50.082454
xgb,xgb_001_le_0.1_cb_0.6_md_14_mcw_3,0.095968,19.947809,0.007020,50.142393
xgb,xgb_001_le_0.1_cb_0.6_md_14_mcw_4,0.095361,20.185452,0.006976,50.188978
xgb,xgb_001_le_0.1_cb_0.6_md_15_mcw_2,0.095697,19.996813,0.007047,50.115083
xgb,xgb_001_le_0.1_cb_0.6_md_15_mcw_3,0.094489,19.982756,0.006919,49.713181
xgb,xgb_001_le_0.1_cb_0.6_md_15_mcw_4,0.095524,20.082832,0.007039,50.147910
xgb,xgb_001_le_0.1_cb_0.6_md_16_mcw_2,0.095497,19.859484,0.007008,49.910124
xgb,xgb_001_le_0.1_cb_0.6_md_16_mcw_3,0.096170,19.854831,0.006948,50.095527
xgb,xgb_001_le_0.1_cb_0.6_md_16_mcw_4,0.096183,19.724468,0.006926,49.964532
xgb,xgb_001_le_0.2_cb_0.6_md_14_mcw_2,0.094942,20.267685,0.007427,50.235714
xgb,xgb_001_le_0.2_cb_0.6_md_14_mcw_3,0.097383,20.294114,0.007177,50.944407
xgb,xgb_001_le_0.2_cb_0.6_md_14_mcw_4,0.096732,20.498753,0.007383,50.995067
xgb,xgb_001_le_0.2_cb_0.6_md_15_mcw_2,0.097235,20.262178,0.007444,50.921478
xgb,xgb_001_le_0.2_cb_0.6_md_15_mcw_3,0.096037,20.245725,0.007329,50.522541
xgb,xgb_001_le_0.2_cb_0.6_md_15_mcw_4,0.098695,20.207258,0.007313,51.278483
xgb,xgb_001_le_0.2_cb_0.6_md_16_mcw_2,0.096744,20.323479,0.007442,50.835094
xgb,xgb_001_le_0.2_cb_0.6_md_16_mcw_3,0.096221,20.549652,0.007234,50.862814
xgb,xgb_001_le_0.2_cb_0.6_md_16_mcw_4,0.097816,20.201095,0.007327,51.011372
xgb,xgb_001_le_0.1_cb_0.8_md_14_mcw_2,0.094170,19.476785,0.006618,49.051210
xgb,xgb_001_le_0.1_cb_0.8_md_14_mcw_3,0.095269,19.702679,0.006685,49.620541
xgb,xgb_001_le_0.1_cb_0.8_md_14_mcw_4,0.094793,19.659951,0.006649,49.427529
xgb,xgb_001_le_0.1_cb_0.8_md_15_mcw_2,0.094244,19.459023,0.006679,49.068131
xgb,xgb_001_le_0.1_cb_0.8_md_15_mcw_3,0.093593,19.598759,0.006610,48.998605
xgb,xgb_001_le_0.1_cb_0.8_md_15_mcw_4,0.092816,19.652411,0.006584,48.814082
xgb,xgb_001_le_0.1_cb_0.8_md_16_mcw_2,0.093504,19.465876,0.006563,48.829750
xgb,xgb_001_le_0.1_cb_0.8_md_16_mcw_3,0.094006,19.229496,0.006599,48.751200
xgb,xgb_001_le_0.1_cb_0.8_md_16_mcw_4,0.092523,19.725862,0.006545,48.791726
xgb,xgb_001_le_0.2_cb_0.8_md_14_mcw_2,0.095423,19.932647,0.006961,49.951675
xgb,xgb_001_le_0.2_cb_0.8_md_14_mcw_3,0.096160,19.696522,0.006856,49.915729
xgb,xgb_001_le_0.2_cb_0.8_md_14_mcw_4,0.095976,20.197072,0.006826,50.355050
xgb,xgb_001_le_0.2_cb_0.8_md_15_mcw_2,0.094833,19.952965,0.006921,49.787181
xgb,xgb_001_le_0.2_cb_0.8_md_15_mcw_3,0.094593,19.887846,0.006800,49.625825
xgb,xgb_001_le_0.2_cb_0.8_md_15_mcw_4,0.095129,19.782716,0.006809,49.683019
xgb,xgb_001_le_0.2_cb_0.8_md_16_mcw_2,0.096870,19.711972,0.006940,50.160972
xgb,xgb_001_le_0.2_cb_0.8_md_16_mcw_3,0.095822,19.876126,0.006753,49.973395
xgb,xgb_001_le_0.2_cb_0.8_md_16_mcw_4,0.094755,19.873765,0.006915,49.683192
xgb,xgb_001_le_0.1_cb_1.0_md_14_mcw_2,0.093767,19.312223,0.006446,48.731388
xgb,xgb_001_le_0.1_cb_1.0_md_14_mcw_3,0.092117,19.285361,0.006445,48.209513
xgb,xgb_001_le_0.1_cb_1.0_md_14_mcw_4,0.092632,19.089948,0.006408,48.161184
xgb,xgb_001_le_0.1_cb_1.0_md_15_mcw_2,0.093004,18.997760,0.006368,48.172737
xgb,xgb_001_le_0.1_cb_1.0_md_15_mcw_3,0.092720,19.250625,0.006377,48.342041
xgb,xgb_001_le_0.1_cb_1.0_md_15_mcw_4,0.091774,19.318539,0.006381,48.126780
xgb,xgb_001_le_0.1_cb_1.0_md_16_mcw_2,0.091957,19.244611,0.006315,48.094769
xgb,xgb_001_le_0.1_cb_1.0_md_16_mcw_3,0.091567,18.931945,0.006319,47.665793
xgb,xgb_001_le_0.1_cb_1.0_md_16_mcw_4,0.092134,19.173133,0.006303,48.074087
xgb,xgb_001_le_0.2_cb_1.0_md_14_mcw_2,0.095281,19.781483,0.006572,49.680372
xgb,xgb_001_le_0.2_cb_1.0_md_14_mcw_3,0.093878,19.894524,0.006592,49.376533
xgb,xgb_001_le_0.2_cb_1.0_md_14_mcw_4,0.094988,19.677325,0.006620,49.497787
xgb,xgb_001_le_0.2_cb_1.0_md_15_mcw_2,0.094138,19.547451,0.006553,49.099544
xgb,xgb_001_le_0.2_cb_1.0_md_15_mcw_3,0.092617,19.308740,0.006553,48.404316
xgb,xgb_001_le_0.2_cb_1.0_md_15_mcw_4,0.093379,19.718475,0.006546,49.041350
xgb,xgb_001_le_0.2_cb_1.0_md_16_mcw_2,0.093484,19.462282,0.006543,48.816011
xgb,xgb_001_le_0.2_cb_1.0_md_16_mcw_3,0.094940,19.679395,0.006542,49.469695
xgb,xgb_001_le_0.2_cb_1.0_md_16_mcw_4,0.094062,19.509801,0.006530,49.034408
xgb,xgb_001_le_0.1_cb_0.8_md_17_mcw_2,0.092949,19.460304,0.006580,48.661147
xgb,xgb_001_le_0.1_cb_0.8_md_17_mcw_3,0.092938,19.437114,0.006651,48.648550
xgb,xgb_001_le_0.1_cb_0.8_md_17_mcw_4,0.093230,19.328256,0.006599,48.616937
xgb,xgb_001_le_0.1_cb_0.8_md_18_mcw_2,0.094102,19.484031,0.006611,49.036832
xgb,xgb_001_le_0.1_cb_0.8_md_18_mcw_3,0.093162,19.337801,0.006598,48.605981
xgb,xgb_001_le_0.1_cb_0.8_md_18_mcw_4,0.093216,19.315545,0.006562,48.592625
xgb,xgb_001_le_0.1_cb_0.8_md_19_mcw_2,0.094058,19.143286,0.006643,48.689242
xgb,xgb_001_le_0.1_cb_0.8_md_19_mcw_3,0.092971,19.310163,0.006565,48.514386
xgb,xgb_001_le_0.1_cb_0.8_md_19_mcw_4,0.092362,19.133744,0.006530,48.148481
xgb,xgb_001_le_0.1_cb_0.8_md_20_mcw_2,0.094254,19.179960,0.006583,48.772751
xgb,xgb_001_le_0.1_cb_0.8_md_20_mcw_3,0.093429,19.573221,0.006560,48.914043
xgb,xgb_001_le_0.1_cb_0.8_md_20_mcw_4,0.094146,19.044241,0.006531,48.594182
xgb,xgb_001_le_0.1_cb_1.0_md_17_mcw_2,0.092358,18.929714,0.006396,47.916224
xgb,xgb_001_le_0.1_cb_1.0_md_17_mcw_3,0.091309,18.917048,0.006308,47.571269
xgb,xgb_001_le_0.1_cb_1.0_md_17_mcw_4,0.091518,19.093201,0.006339,47.816403
xgb,xgb_001_le_0.1_cb_1.0_md_18_mcw_2,0.092458,19.063320,0.006381,48.076847
xgb,xgb_001_le_0.1_cb_1.0_md_18_mcw_3,0.091778,18.938244,0.006296,47.730843
xgb,xgb_001_le_0.1_cb_1.0_md_18_mcw_4,0.092073,19.079981,0.006376,47.977070
xgb,xgb_001_le_0.1_cb_1.0_md_19_mcw_2,0.092400,19.146091,0.006315,48.129002
xgb,xgb_001_le_0.1_cb_1.0_md_19_mcw_3,0.092333,18.917641,0.006301,47.877761
xgb,xgb_001_le_0.1_cb_1.0_md_19_mcw_4,0.091652,18.889480,0.006287,47.642589
xgb,xgb_001_le_0.1_cb_1.0_md_20_mcw_2,0.092282,19.127656,0.006290,48.070271
xgb,xgb_001_le_0.1_cb_1.0_md_20_mcw_3,0.091309,18.889601,0.006306,47.543667
xgb,xgb_001_le_0.1_cb_1.0_md_20_mcw_4,0.091314,19.022890,0.006300,47.676981
xgb,xgb_001_le_0.1_cb_0.8_md_21_mcw_2,0.093412,19.388704,0.006607,48.733662
xgb,xgb_001_le_0.1_cb_0.8_md_21_mcw_3,0.093641,19.346108,0.006527,48.743642
xgb,xgb_001_le_0.1_cb_0.8_md_21_mcw_4,0.093305,19.057305,0.006499,48.348689
xgb,xgb_001_le_0.1_cb_0.8_md_22_mcw_2,0.094242,19.171460,0.006600,48.763905
xgb,xgb_001_le_0.1_cb_0.8_md_22_mcw_3,0.094333,19.499479,0.006543,49.108027
xgb,xgb_001_le_0.1_cb_0.8_md_22_mcw_4,0.093292,19.069664,0.006521,48.361539
xgb,xgb_001_le_0.1_cb_0.8_md_23_mcw_2,0.094188,19.178036,0.006561,48.746751
xgb,xgb_001_le_0.1_cb_0.8_md_23_mcw_3,0.094378,19.370525,0.006526,48.989078
xgb,xgb_001_le_0.1_cb_0.8_md_23_mcw_4,0.093750,19.310682,0.006569,48.749498
xgb,xgb_001_le_0.1_cb_0.8_md_24_mcw_2,0.095558,19.332502,0.006613,49.322554
xgb,xgb_001_le_0.1_cb_0.8_md_24_mcw_3,0.094637,19.444272,0.006517,49.138986
xgb,xgb_001_le_0.1_cb_0.8_md_24_mcw_4,0.093130,19.170977,0.006496,48.409290
xgb,xgb_001_le_0.1_cb_1.0_md_21_mcw_2,0.091931,19.032414,0.006380,47.887843
xgb,xgb_001_le_0.1_cb_1.0_md_21_mcw_3,0.092422,18.786674,0.006226,47.758394
xgb,xgb_001_le_0.1_cb_1.0_md_21_mcw_4,0.091317,18.835395,0.006261,47.482744
xgb,xgb_001_le_0.1_cb_1.0_md_22_mcw_2,0.092578,19.225703,0.006286,48.256542
xgb,xgb_001_le_0.1_cb_1.0_md_22_mcw_3,0.091804,18.696234,0.006217,47.480769
xgb,xgb_001_le_0.1_cb_1.0_md_22_mcw_4,0.090962,18.985585,0.006268,47.527915
