model,params,MAE_1,MAE_2,MAE_3,WMAE
xgb,xgb_001_le_0.2_cb_1.0_md_14_mcw_4,0.093539,19.767018,0.006691,49.166744
xgb,xgb_001_le_0.1_cb_1.0_md_15_mcw_2,0.093004,18.997760,0.006368,48.172737
xgb,xgb_001_le_0.1_cb_1.0_md_15_mcw_3,0.092720,19.250625,0.006377,48.342041
xgb,xgb_001_le_0.1_cb_1.0_md_15_mcw_4,0.091774,19.318539,0.006381,48.126780
xgb,xgb_001_le_0.1_cb_1.0_md_16_mcw_2,0.091957,19.244611,0.006315,48.094769
xgb,xgb_001_le_0.1_cb_1.0_md_16_mcw_3,0.091567,18.931945,0.006319,47.665793
xgb,xgb_001_le_0.1_cb_1.0_md_16_mcw_4,0.092134,19.173133,0.006303,48.074087
xgb,xgb_001_le_0.1_cb_1.0_md_17_mcw_2,0.092358,18.929714,0.006396,47.916224
xgb,xgb_001_le_0.1_cb_1.0_md_17_mcw_3,0.091309,18.917048,0.006308,47.571269
xgb,xgb_001_le_0.1_cb_1.0_md_17_mcw_4,0.091518,19.093201,0.006339,47.816403
xgb,xgb_001_le_0.1_cb_1.0_md_18_mcw_2,0.092458,19.063320,0.006381,48.076847
xgb,xgb_001_le_0.1_cb_1.0_md_18_mcw_3,0.091778,18.938244,0.006296,47.730843
xgb,xgb_001_le_0.1_cb_1.0_md_18_mcw_4,0.092073,19.079981,0.006376,47.977070
xgb,xgb_001_le_0.1_cb_1.0_md_19_mcw_2,0.092400,19.146091,0.006315,48.129002
xgb,xgb_001_le_0.1_cb_1.0_md_19_mcw_3,0.092333,18.917641,0.006301,47.877761
xgb,xgb_001_le_0.1_cb_1.0_md_19_mcw_4,0.091652,18.889480,0.006287,47.642589
xgb,xgb_001_le_0.1_cb_1.0_md_20_mcw_2,0.092282,19.127656,0.006290,48.070271
xgb,xgb_001_le_0.1_cb_1.0_md_20_mcw_3,0.091309,18.889601,0.006306,47.543667
xgb,xgb_001_le_0.1_cb_1.0_md_20_mcw_4,0.091314,19.022890,0.006300,47.676981
