model,params,MAE_1,MAE_2,MAE_3,WMAE
Ridge,alpha_1e-05,0.167775,29.115944,0.019620,83.372408
Ridge,alpha_0.0001,0.167817,29.117518,0.019620,83.386455
Ridge,alpha_0.001,0.167856,29.118856,0.019620,83.399580
Ridge,alpha_0.01,0.167859,29.117935,0.019619,83.399439
Ridge,alpha_0.1,0.167829,29.109772,0.019617,83.381766
Ridge,alpha_1,0.167852,29.086182,0.019656,83.373031
Ridge,alpha_10,0.168133,29.055946,0.019791,83.453843
Ridge,alpha_100,0.169981,29.118091,0.020256,84.163492
Ridge,alpha_1000,0.175713,29.902089,0.021599,86.935774
