model,params,MAE_1,MAE_2,MAE_3,WMAE
xgb,xgb_000_le_0.2_cb_1.0_md_12,0.110464,29.799041,0.005621,64.062455
xgb,xgb_000_le_0.1_cb_1.0_md_10_mcw_2,0.092037,18.436158,0.006385,47.324239
xgb,xgb_000_le_0.1_cb_1.0_md_10_mcw_3,0.092683,18.509129,0.006337,47.581493
xgb,xgb_000_le_0.1_cb_1.0_md_11_mcw_2,0.091433,18.303040,0.006218,46.976471
xgb,xgb_000_le_0.1_cb_1.0_md_11_mcw_3,0.092038,18.408314,0.006266,47.272829
xgb,xgb_000_le_0.1_cb_1.0_md_12_mcw_2,0.090155,18.377520,0.006253,46.674702
xgb,xgb_000_le_0.1_cb_1.0_md_12_mcw_3,0.091136,17.992806,0.006243,46.582173
xgb,xgb_000_le_0.1_cb_1.0_md_13_mcw_2,0.090275,18.071772,0.006325,46.419176
xgb,xgb_000_le_0.1_cb_1.0_md_13_mcw_3,0.089513,18.178554,0.006192,46.271005
xgb,xgb_000_le_0.1_cb_1.0_md_14_mcw_2,0.090574,18.064510,0.006225,46.481574
xgb,xgb_000_le_0.1_cb_1.0_md_14_mcw_3,0.089850,17.949053,0.006153,46.134759
xgb,xgb_000_le_0.1_cb_1.0_md_15_mcw_2,0.090653,18.073965,0.006205,46.510771
xgb,xgb_000_le_0.1_cb_1.0_md_15_mcw_3,0.090406,17.783146,0.006158,46.136629
xgb,xgb_000_le_0.1_cb_1.0_md_16_mcw_2,0.089867,17.827391,0.006208,46.029272
xgb,xgb_000_le_0.1_cb_1.0_md_16_mcw_3,0.090551,17.949880,0.006204,46.355976
xgb,xgb_000_le_0.1_cb_1.0_md_17_mcw_2,0.090639,17.862457,0.006156,46.285548
xgb,xgb_000_le_0.1_cb_1.0_md_17_mcw_3,0.090961,17.692713,0.006144,46.209936
xgb,xgb_000_le_0.1_cb_1.0_md_18_mcw_2,0.092007,17.878842,0.006171,46.715013
xgb,xgb_000_le_0.1_cb_1.0_md_18_mcw_3,0.091470,17.697248,0.006175,46.373118
xgb,xgb_000_le_0.1_cb_1.0_md_19_mcw_2,0.091309,17.752986,0.006180,46.381753
xgb,xgb_000_le_0.1_cb_1.0_md_19_mcw_3,0.090850,17.695313,0.006158,46.181885
xgb,xgb_000_le_0.1_cb_1.0_md_20_mcw_2,0.092545,17.575383,0.006222,46.583109
xgb,xgb_000_le_0.1_cb_1.0_md_20_mcw_3,0.091144,17.873513,0.006166,46.449870
xgb,xgb_000_ensemble,0.089850,17.692713,0.006144,45.876653
