model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128",51.075447,0.096615,20.590852,0.007501,0.539986,0.363453,0.166037,0.010496
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64",50.812573,0.095662,20.462145,0.008260,0.594865,0.431725,0.151786,0.011354
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128",50.998504,0.096599,20.564267,0.007272,0.592451,0.420556,0.161754,0.010142
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64",52.166238,0.099732,20.545470,0.008506,0.557661,0.382086,0.163629,0.011946
NN,"hidden_[200, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_128",52.429330,0.100741,20.567058,0.008200,0.574921,0.411751,0.151708,0.011461
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.670143,0.099716,21.152068,0.008016,0.563529,0.397920,0.154431,0.011177
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",53.206456,0.100234,21.430245,0.008529,0.527577,0.352422,0.163229,0.011926
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.716377,0.099051,21.291153,0.008550,0.808498,0.631140,0.165610,0.011748
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.139388,0.099127,20.703195,0.008491,0.699998,0.522909,0.165243,0.011846
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.029841,0.099182,20.631989,0.008217,0.632909,0.463055,0.158331,0.011523
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.012591,0.099482,20.416726,0.008757,0.731989,0.563624,0.156197,0.012167
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.014237,0.096817,20.456761,0.007562,0.547709,0.382500,0.154742,0.010467
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",50.623811,0.095529,20.400639,0.007823,0.619902,0.454540,0.154534,0.010829
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.969546,0.098914,21.650486,0.008224,0.659314,0.464781,0.183110,0.011423
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.315512,0.098868,20.036819,0.008092,0.554647,0.387837,0.155645,0.011165
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.621233,0.097113,21.667275,0.009100,0.661811,0.488818,0.160465,0.012528
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.483936,0.096929,20.668781,0.008682,0.706972,0.533370,0.161609,0.011993
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.258119,0.097032,21.255552,0.009464,0.734313,0.550222,0.170991,0.013099
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.212956,0.100434,20.271041,0.009058,0.523490,0.353020,0.157816,0.012654
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.992836,0.098023,20.883448,0.008512,0.534146,0.365556,0.156874,0.011716
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",50.764251,0.096168,20.276841,0.008185,0.576720,0.408898,0.156362,0.011460
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.612380,0.096933,20.926949,0.008027,0.702956,0.529366,0.162409,0.011181
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.283284,0.097679,20.438497,0.007705,0.582972,0.403353,0.168854,0.010764
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.001440,0.095489,20.716437,0.008191,0.630247,0.458999,0.160024,0.011225
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",50.840924,0.096160,20.370141,0.008113,0.529445,0.359140,0.158756,0.011549
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",160.030726,0.254711,58.735247,0.124411,4.732498,3.945361,0.610709,0.176427
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",159.909137,0.254722,58.610062,0.124412,4.765619,3.976106,0.613232,0.176281
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",153.309407,0.249379,54.737989,0.118788,4.563903,3.879509,0.518334,0.166060
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",134.949795,0.247887,58.567138,0.010083,4.497470,3.869406,0.614145,0.013919
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",150.166630,0.240147,54.853487,0.116346,4.355345,3.666966,0.524265,0.164114
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",154.370410,0.248346,56.082720,0.118919,4.576104,3.853615,0.555728,0.166762
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",153.178001,0.269762,58.628832,0.068103,6.060787,5.333157,0.612841,0.114789
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",153.171041,0.250563,54.877986,0.115621,4.578077,3.886136,0.531139,0.160802
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",151.217337,0.273199,58.116757,0.055704,3.130388,2.474070,0.582625,0.073693
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",274.537721,0.481266,103.691637,0.132331,8.984546,8.013279,0.754823,0.216444
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",160.385987,0.278533,56.848089,0.099890,2.318885,1.607154,0.578019,0.133712
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",121.199433,0.240354,46.943665,0.010748,2.115010,1.778012,0.321823,0.015175
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",144.589580,0.270617,56.271159,0.035666,5.201590,4.533951,0.616389,0.051249
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",159.934616,0.254711,58.637246,0.124421,4.732012,3.943403,0.612669,0.175939
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",159.809355,0.254713,58.512814,0.124413,4.750815,3.959271,0.615320,0.176224
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",149.596040,0.240598,54.477235,0.114696,4.441183,3.761782,0.519580,0.159821
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",170.269119,0.393944,49.129029,0.014784,6.834800,6.428064,0.385588,0.021148
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",51.104872,0.096667,20.230916,0.009369,0.564542,0.400732,0.150589,0.013221
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",159.905608,0.254711,58.609972,0.124412,4.734572,3.945061,0.613234,0.176277
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",52.101117,0.098809,20.667878,0.008952,0.629874,0.460338,0.157248,0.012288
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",53.202748,0.101626,20.988165,0.008633,0.632216,0.465994,0.154160,0.012062
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",151.353580,0.244367,54.514449,0.117646,4.534285,3.858567,0.511175,0.164543
NN,"hidden_[200, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",120.999228,0.234979,46.082134,0.022117,3.648843,3.309878,0.310393,0.028571
