model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",56.448169,0.111831,20.912091,0.009934,0.590316,0.412726,0.164149,0.013440
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",57.660935,0.114890,21.309086,0.009424,0.624073,0.435496,0.175474,0.013103
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",56.461499,0.112439,20.691920,0.010189,0.609909,0.431281,0.164531,0.014097
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",53.468220,0.101517,21.098034,0.009575,0.682627,0.501137,0.168042,0.013447
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",90.194917,0.192970,28.905558,0.016991,0.876270,0.589433,0.262645,0.024192
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",61.261159,0.123310,21.369882,0.014491,0.700137,0.517714,0.161891,0.020532
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",68.778203,0.145517,21.924814,0.015991,0.813749,0.608718,0.182742,0.022289
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.725809,0.099548,20.851882,0.010048,0.794743,0.613689,0.167047,0.014007
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",66.249879,0.129975,25.075625,0.010909,0.652486,0.432693,0.204918,0.014875
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",57.846711,0.110650,21.599775,0.015260,0.595511,0.411613,0.163444,0.020454
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",60.032940,0.122968,21.378492,0.008821,1.592896,1.426127,0.154579,0.012190
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",52.189901,0.099928,20.288186,0.009617,0.827356,0.649761,0.164102,0.013494
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",52.063443,0.099042,20.649573,0.008506,0.810701,0.639391,0.159426,0.011884
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",52.806021,0.100285,20.906435,0.009071,0.785968,0.620323,0.152878,0.012767
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",55.386500,0.106462,21.587850,0.009301,1.047142,0.872647,0.161727,0.012768
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",60.159109,0.120990,21.906522,0.009779,1.453097,1.266038,0.173617,0.013442
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",54.749001,0.106142,20.733028,0.010867,0.753939,0.578239,0.161044,0.014656
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",55.614367,0.105024,22.265188,0.009210,0.774283,0.592938,0.168628,0.012716
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",57.619612,0.107679,23.439162,0.009383,1.091260,0.890641,0.187777,0.012842
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",56.620553,0.107577,21.889716,0.012289,0.612706,0.425648,0.170409,0.016650
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",58.145106,0.108606,23.357685,0.011029,0.617906,0.409927,0.192998,0.014982
