model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",157.291944,0.255005,56.882753,0.119538,4.666085,3.922713,0.575668,0.167705
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",717.007846,0.516441,526.477322,0.177991,18.746751,7.268764,11.205878,0.272109
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",5885.890254,0.475826,5722.839467,0.101515,68.272054,4.165734,63.944048,0.162272
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",199.954771,0.339191,80.831352,0.086830,4.618180,3.926071,0.584416,0.107692
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",136.557172,0.252027,58.656587,0.011462,4.481945,3.853766,0.612276,0.015903
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",172.566272,0.351091,56.854929,0.051921,7.369649,6.600730,0.692692,0.076227
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",159.940905,0.254711,58.644428,0.124416,4.730453,3.941869,0.612523,0.176061
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",49.629965,0.093643,19.393098,0.010721,0.656192,0.490196,0.151559,0.014438
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",159.848886,0.254712,58.553011,0.124412,4.726029,3.935291,0.614449,0.176289
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",223.743916,0.467391,58.643935,0.124414,1.763561,0.974875,0.612533,0.176153
