model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
Ridge,alpha_1e-05_sw_uniform,91.178757,0.191600,30.278956,0.017099,1.916581,1.643075,0.249911,0.023595
Ridge,alpha_1e-05_sw_target_reciprocal,108.735964,0.239748,33.165091,0.018232,1.683239,1.392450,0.265632,0.025157
Ridge,alpha_0.0001_sw_uniform,89.841361,0.189446,29.704867,0.016513,1.914617,1.646665,0.245215,0.022737
Ridge,alpha_0.0001_sw_target_reciprocal,107.894907,0.239079,32.632014,0.017696,1.638407,1.352858,0.261181,0.024367
Ridge,alpha_0.001_sw_uniform,89.032466,0.188668,29.232964,0.015995,1.942032,1.678512,0.241539,0.021981
Ridge,alpha_0.001_sw_target_reciprocal,108.014459,0.241219,32.230255,0.017092,1.664924,1.383154,0.258294,0.023476
Ridge,alpha_0.01_sw_uniform,88.736322,0.188388,29.056523,0.015817,1.975444,1.713936,0.239777,0.021732
Ridge,alpha_0.01_sw_target_reciprocal,108.568098,0.245799,31.463966,0.016822,1.637782,1.361425,0.253266,0.023091
Ridge,alpha_0.1_sw_uniform,88.258659,0.187409,28.900153,0.015679,2.019035,1.759359,0.238133,0.021544
Ridge,alpha_0.1_sw_target_reciprocal,108.290569,0.249453,30.129914,0.016624,1.593740,1.327015,0.243912,0.022812
Ridge,alpha_1_sw_uniform,86.820369,0.184386,28.457793,0.015234,2.023233,1.767149,0.235143,0.020940
Ridge,alpha_1_sw_target_reciprocal,108.886506,0.250896,30.393737,0.016120,1.561601,1.292267,0.247200,0.022133
Ridge,alpha_10_sw_uniform,84.305948,0.179299,27.712181,0.014021,1.987377,1.737059,0.231002,0.019316
Ridge,alpha_10_sw_target_reciprocal,110.801824,0.250238,32.818089,0.014562,1.393423,1.103075,0.270305,0.020043
Ridge,alpha_100_sw_uniform,86.294022,0.183536,28.416723,0.014083,2.111883,1.854058,0.238433,0.019393
Ridge,alpha_100_sw_target_reciprocal,118.726022,0.260922,37.606928,0.014212,1.274933,0.931969,0.323371,0.019593
Ridge,alpha_1000_sw_uniform,95.929017,0.202798,31.823622,0.016329,2.250097,1.954754,0.273067,0.022276
Ridge,alpha_1000_sw_target_reciprocal,130.367398,0.285223,41.562467,0.016191,1.361491,0.956635,0.382727,0.022129
