model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.751247,0.109855,24.155985,0.008194,0.645209,0.444935,0.188822,0.011452
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,59.297704,0.110350,24.504206,0.008442,0.670678,0.466018,0.192864,0.011796
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.772698,0.109915,24.163804,0.008172,0.639199,0.439172,0.188600,0.011426
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,59.400599,0.110389,24.588357,0.008478,0.671911,0.466221,0.193845,0.011845
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,55.815108,0.103905,23.057178,0.007932,0.575845,0.386733,0.178027,0.011085
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,56.311090,0.104620,23.311416,0.008068,0.598324,0.406447,0.180599,0.011279
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,55.670038,0.103997,22.891817,0.007896,0.569182,0.381943,0.176191,0.011048
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,56.192404,0.104271,23.289802,0.008107,0.591159,0.399191,0.180636,0.011331
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_3_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.882726,0.110429,24.131660,0.008112,0.650707,0.451395,0.187982,0.011330
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_3_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,59.429750,0.110834,24.493541,0.008431,0.669817,0.465714,0.192324,0.011779
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_3_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.761467,0.109948,24.143811,0.008166,0.645679,0.446313,0.187953,0.011414
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_3_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,59.402722,0.110743,24.493608,0.008431,0.666761,0.462656,0.192325,0.011779
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_3_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,56.122711,0.104803,23.112835,0.007845,0.582741,0.393749,0.178038,0.010954
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_3_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,56.264382,0.104577,23.277631,0.008068,0.593514,0.401767,0.180470,0.011277
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_3_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,55.909240,0.104220,23.066937,0.007881,0.572949,0.384299,0.177637,0.011012
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_3_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,56.190614,0.104431,23.251380,0.008050,0.590883,0.399432,0.180204,0.011246
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_5_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.664337,0.109775,24.111800,0.008101,0.640334,0.440881,0.188143,0.011309
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_5_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,59.398979,0.110310,24.629272,0.008383,0.658205,0.453114,0.193389,0.011701
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_5_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.672439,0.109670,24.149378,0.008110,0.640047,0.440167,0.188558,0.011322
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_5_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,59.398169,0.110311,24.629318,0.008378,0.658226,0.453149,0.193390,0.011688
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_5_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,55.958053,0.104789,22.951267,0.007851,0.576282,0.388712,0.176604,0.010966
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_5_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,56.114446,0.104345,23.208875,0.008010,0.582783,0.391543,0.180047,0.011193
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_5_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,55.917043,0.104232,23.078458,0.007845,0.572409,0.383750,0.177697,0.010962
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_5_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,56.068460,0.104222,23.202637,0.007996,0.582256,0.391611,0.179475,0.011171
XGBRegressor,ne_50_md_10_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,51.568879,0.096845,21.145964,0.006847,0.519594,0.350293,0.159736,0.009565
XGBRegressor,ne_50_md_10_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,51.540073,0.096851,21.105065,0.006899,0.513275,0.344743,0.158891,0.009641
XGBRegressor,ne_50_md_10_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,51.378316,0.096505,21.064669,0.006810,0.522566,0.354827,0.158222,0.009518
XGBRegressor,ne_50_md_10_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,51.492853,0.096778,21.087116,0.006862,0.512960,0.344870,0.158502,0.009589
XGBRegressor,ne_100_md_10_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,50.392742,0.094843,20.575126,0.006824,0.498111,0.333894,0.154684,0.009532
XGBRegressor,ne_100_md_10_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,50.389912,0.094982,20.522607,0.006863,0.493713,0.330455,0.153672,0.009586
XGBRegressor,ne_100_md_10_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,50.056398,0.094628,20.311527,0.006783,0.501703,0.340795,0.151431,0.009478
