model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
LGBMRegressor,ne_100_nl_800_lr_0.05_ld_0.01_mcw_3_subs_0.8_cstree_0.8_sw_uniform,46.384040,0.088477,18.538871,0.006510,0.458474,0.311838,0.137566,0.009070
LGBMRegressor,ne_100_nl_800_lr_0.05_ld_0.01_mcw_3_subs_1.0_cstree_0.8_sw_uniform,46.384040,0.088477,18.538871,0.006510,0.458474,0.311838,0.137566,0.009070
LGBMRegressor,ne_150_nl_100_lr_0.05_ld_0_mcw_3_subs_0.8_cstree_0.8_sw_uniform,49.646403,0.095069,19.724193,0.007007,0.487337,0.329769,0.147794,0.009774
LGBMRegressor,ne_150_nl_100_lr_0.05_ld_0_mcw_3_subs_1.0_cstree_0.8_sw_uniform,49.646403,0.095069,19.724193,0.007007,0.487337,0.329769,0.147794,0.009774
LGBMRegressor,ne_150_nl_100_lr_0.05_ld_0.01_mcw_3_subs_0.8_cstree_0.8_sw_uniform,49.635144,0.095382,19.622738,0.006989,0.485017,0.328641,0.146630,0.009745
LGBMRegressor,ne_150_nl_100_lr_0.05_ld_0.01_mcw_3_subs_1.0_cstree_0.8_sw_uniform,49.635144,0.095382,19.622738,0.006989,0.485017,0.328641,0.146630,0.009745
LGBMRegressor,ne_150_nl_400_lr_0.05_ld_0_mcw_3_subs_0.8_cstree_0.8_sw_uniform,46.492097,0.088643,18.572247,0.006634,0.450966,0.303450,0.138249,0.009267
LGBMRegressor,ne_150_nl_400_lr_0.05_ld_0_mcw_3_subs_1.0_cstree_0.8_sw_uniform,46.492097,0.088643,18.572247,0.006634,0.450966,0.303450,0.138249,0.009267
LGBMRegressor,ne_150_nl_400_lr_0.05_ld_0.01_mcw_3_subs_0.8_cstree_0.8_sw_uniform,46.477918,0.089042,18.437336,0.006639,0.448512,0.302000,0.137253,0.009260
LGBMRegressor,ne_150_nl_400_lr_0.05_ld_0.01_mcw_3_subs_1.0_cstree_0.8_sw_uniform,46.477918,0.089042,18.437336,0.006639,0.448512,0.302000,0.137253,0.009260
LGBMRegressor,ne_150_nl_800_lr_0.05_ld_0_mcw_3_subs_0.8_cstree_0.8_sw_uniform,45.454866,0.086741,18.156193,0.006381,0.437613,0.294235,0.134464,0.008913
