model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
Ridge,alpha_1e-05_sw_uniform,89.036042,0.187464,29.551749,0.016225,1.812388,1.545391,0.244603,0.022394
Ridge,alpha_0.0001_sw_uniform,85.918180,0.181900,28.347774,0.015002,1.781460,1.525047,0.235742,0.020670
Ridge,alpha_0.001_sw_uniform,84.107299,0.178730,27.693116,0.013976,1.809367,1.559046,0.231075,0.019246
Ridge,alpha_0.01_sw_uniform,83.350548,0.177347,27.481183,0.013326,1.846936,1.599350,0.229220,0.018366
Ridge,alpha_0.1_sw_uniform,82.651738,0.175859,27.281933,0.013061,1.916085,1.670618,0.227459,0.018007
Ridge,alpha_1_sw_uniform,82.527654,0.175480,27.262654,0.013106,1.982113,1.736499,0.227516,0.018097
Ridge,alpha_10_sw_uniform,83.507769,0.177353,27.643702,0.013291,2.041252,1.791301,0.231565,0.018385
Ridge,alpha_100_sw_uniform,88.481564,0.187907,29.313077,0.013982,2.188331,1.919601,0.249459,0.019271
Ridge,alpha_1000_sw_uniform,100.431035,0.212311,33.566828,0.015855,2.395918,2.076010,0.298194,0.021715
