model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.140472,0.109126,23.788083,0.008072,0.633256,0.436758,0.185204,0.011294
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,58.317173,0.109693,23.781560,0.008139,0.632888,0.435443,0.186099,0.011347
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.340113,0.109298,23.932629,0.008091,0.633299,0.435508,0.186457,0.011334
XGBRegressor,ne_50_md_5_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,58.203880,0.109311,23.782451,0.008141,0.639972,0.442557,0.186066,0.011350
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,54.728183,0.103338,22.172340,0.007772,0.561729,0.381705,0.169146,0.010878
XGBRegressor,ne_100_md_5_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,54.753403,0.103230,22.234806,0.007748,0.558805,0.376950,0.171037,0.010818
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,54.668339,0.103299,22.117825,0.007804,0.556724,0.376504,0.169290,0.010930
XGBRegressor,ne_100_md_5_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,54.560650,0.102966,22.124202,0.007733,0.560454,0.379904,0.169748,0.010802
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_3_subs_0.8_cstree_0.8_csnode_0.8_sw_uniform,58.061199,0.108579,23.883010,0.008022,0.629635,0.432410,0.185999,0.011226
XGBRegressor,ne_50_md_5_lr_0.1_ld_0_mcw_3_subs_1.0_cstree_0.8_csnode_0.8_sw_uniform,58.643501,0.110042,24.013522,0.008086,0.640441,0.441176,0.187976,0.011289
