model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
Ridge,alpha_1e-05_sw_uniform,81.515605,0.166095,28.417533,0.016347,1.879822,1.616900,0.240491,0.022431
Ridge,alpha_1e-05_sw_target_reciprocal,120.831609,0.286406,31.556796,0.016765,1.264701,0.986789,0.254952,0.022960
Ridge,alpha_0.0001_sw_uniform,81.529573,0.166138,28.418962,0.016347,1.895223,1.632298,0.240494,0.022430
Ridge,alpha_0.0001_sw_target_reciprocal,120.826093,0.286410,31.550446,0.016764,1.264630,0.986807,0.254864,0.022959
Ridge,alpha_0.001_sw_uniform,81.534238,0.166157,28.419465,0.016339,1.907912,1.645025,0.240468,0.022419
Ridge,alpha_0.001_sw_target_reciprocal,120.832777,0.286445,31.547847,0.016757,1.264678,0.986978,0.254751,0.022949
Ridge,alpha_0.01_sw_uniform,81.503143,0.166023,28.434835,0.016308,1.900281,1.637382,0.240522,0.022376
Ridge,alpha_0.01_sw_target_reciprocal,120.923921,0.286745,31.553991,0.016731,1.265316,0.987487,0.254913,0.022915
Ridge,alpha_0.1_sw_uniform,81.491540,0.165853,28.475643,0.016300,1.904056,1.640954,0.240731,0.022371
Ridge,alpha_0.1_sw_target_reciprocal,121.286062,0.288131,31.501116,0.016728,1.264351,0.985693,0.255742,0.022916
Ridge,alpha_1_sw_uniform,81.442501,0.165498,28.530049,0.016316,1.939149,1.675497,0.241249,0.022402
Ridge,alpha_1_sw_target_reciprocal,121.795035,0.291199,31.083070,0.016761,1.262351,0.983938,0.255446,0.022967
Ridge,alpha_10_sw_uniform,81.553348,0.165509,28.615671,0.016425,1.976434,1.711181,0.242682,0.022572
Ridge,alpha_10_sw_target_reciprocal,124.310809,0.299052,31.233374,0.016809,1.272384,0.987643,0.261716,0.023026
Ridge,alpha_100_sw_uniform,82.295604,0.167044,28.698101,0.017421,1.983429,1.714149,0.245299,0.023981
Ridge,alpha_100_sw_target_reciprocal,130.425753,0.312073,33.290462,0.017567,1.295939,0.986903,0.284970,0.024065
Ridge,alpha_1000_sw_uniform,85.639033,0.173821,29.532136,0.019802,1.993525,1.709300,0.256877,0.027348
Ridge,alpha_1000_sw_target_reciprocal,142.250550,0.325906,40.539626,0.019695,1.393317,1.001952,0.364331,0.027033
