model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
Lasso,alpha_0.0001,83.493979,0.168257,29.051657,0.019825,2.006611,1.730960,0.248303,0.027349
Lasso,alpha_0.001,84.321110,0.170834,28.956005,0.020574,1.968053,1.689225,0.250381,0.028448
Lasso,alpha_0.01,87.510567,0.177428,30.023806,0.021292,2.071716,1.778607,0.263436,0.029672
Lasso,alpha_0.1,100.390532,0.196267,37.381742,0.020643,2.949963,2.590378,0.330333,0.029252
Lasso,alpha_1,159.929674,0.254712,58.633648,0.124412,4.723284,3.934311,0.612743,0.176230
Lasso,alpha_10,159.929674,0.254712,58.633648,0.124412,4.723284,3.934311,0.612743,0.176230
Lasso,alpha_100,159.929674,0.254712,58.633648,0.124412,4.723284,3.934311,0.612743,0.176230
Lasso,alpha_1000,159.929674,0.254712,58.633648,0.124412,4.723284,3.934311,0.612743,0.176230
